ID,Name,Rarity,Description,Type,BelongsTo,AddsTraitType,AddsModifierIds,IsActive,LocalizationGlue
,Turbocharged,Rare,Add the following trait to your Civ card: Builders gain one extra Build Charge,Power,China,,TRAIT_ADJUST_BUILDER_CHARGES,,"LOC_TRAIT_LEADER_FIRST_EMPEROR_EXPANSION2_DESCRIPTION,2"
,Art of Violence,Rare,Add the following trait to your Civ card: Killing a unit provides Culture equal to 50% of its Combat Strength,Power,Greece,,UNIQUE_LEADER_CULTURE_KILLS,,"LOC_TRAIT_LEADER_THERMOPYLAE_DESCRIPTION,1"
,Emperor's Masterpiece,Epic,Add the following trait to your Civ card: Can spend Builder charges to complete 15% of the Production cost for Ancient and Classical wonders.,Power,China,,TRAIT_BUILDER_WONDER_PERCENT,,"LOC_TRAIT_LEADER_FIRST_EMPEROR_EXPANSION2_DESCRIPTION,1"
,Rivers of Stone,Uncommon,Add the following trait to your Civ card: Unlocks Canals with Masonry instead of Steam Power.,Power,China,,TRAIT_CANAL_UNLOCK_MASONRY,,"LOC_TRAIT_LEADER_FIRST_EMPEROR_EXPANSION2_DESCRIPTION,3"
,I See You,Uncommon,Add the following trait to your Civ card: +1 level of Diplomatic Visibility with every encountered civilization. ,Power,France,,UNIQUE_LEADER_ADD_VISIBILITY,,"LOC_TRAIT_LEADER_FLYING_SQUADRON_DESCRIPTION,1"
,Double Oh Network,Rare,Add the following trait to your Civ card: All Spies start with a free promotion.,Power,France,,UNIQUE_LEADER_SPIES_START_PROMOTED,,"LOC_TRAIT_LEADER_FLYING_SQUADRON_DESCRIPTION,3"
,Developing a Bond,Rare,Add the following trait to your Civ card: Receives a free Spy (and extra Spy capacity) with Castles.,Power,France,,UNIQUE_LEADER_ADD_SPY_CAPACITY|UNIQUE_LEADER_ADD_SPY_UNIT,,"LOC_TRAIT_LEADER_FLYING_SQUADRON_DESCRIPTION,2"
,Meiji Restoration,Rare,"Add the following trait to your Civ card: Districts receive a +1 adjacency bonus for each adjacent district, instead of +0.5.",Power,Japan,TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,,,"LOC_TRAIT_CIVILIZATION_ADJACENT_DISTRICTS_DESCRIPTION,0"
,Embezzlement,Uncommon,Add the following trait to your Civ card: Trade Routes generate +1 additional Gold from any of your Trading Posts they pass through.,Power,Rome,,TRAIT_GOLD_FROM_DOMESTIC_TRADING_POSTS,,"LOC_TRAIT_CIVILIZATION_ALL_ROADS_LEAD_TO_ROME_DESCRIPTION,3"
,Road Network,Uncommon,"Add the following trait to your Civ card: Founded or conquered cities start with a Trading Post and, if within Trade Route range of the Capital, a road to it.",Power,Rome,,TRAIT_FREE_ROADS_TO_CAPITAL|TRAIT_FREE_TRADING_POSTS,,"LOC_TRAIT_CIVILIZATION_ALL_ROADS_LEAD_TO_ROME_DESCRIPTION,1,2"
,I Bless The Rainforests,Rare,"Add the following trait to your Civ card: Choose one: Rainforests provide a +1 adjacency bonus for Campus, Commercial Hub, Holy Site, or Theater Square districts",Power,Brazil,,,FALSE,
,Tree Huggers,Uncommon,"Add the following trait to your Civ card: Rainforests provide +1 Appeal to adjacent tiles, instead of the usual -1.",Power,Brazil,,TRAIT_AMAZON_RAINFOREST_EXTRA_APPEAL,,
,Brain Wave,Rare,Add the following trait to your Civ card: Eurekas provide an extra 10% of the Science cost for researching technologies,Power,China,,TRAIT_TECHNOLOGY_BOOST,,
,Inspired,Rare,Add the following trait to your Civ card: Inspirations provide an extra 10% of the Culture cost for researching civics,Power,China,,TRAIT_CIVIC_BOOST,,
,Brave Voyagers,Uncommon,"Add the following trait to your Civ card: Your units gain the ability to enter Ocean tiles with Shipbuilding, instead of Cartography",Power,Norway,,TRAIT_EARLY_OCEAN_NAVIGATION,,"LOC_TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION_DESCRIPTION,1"
,Amphibian,Rare,Add the following trait to your Civ card: Your units pay no additional Movement costs to embark or disembark,Power,Norway,,TRAIT_IGNORE_EMBARK_DISEMBARK_COST,,"LOC_TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION_DESCRIPTION,3"
,Siren's Call,Uncommon,Add the following trait to your Civ card: Naval melee units can heal in neutral territory.,Power,Norway,,TRAIT_MELEE_NAVAL_HEAL_NEUTRAL,,"LOC_TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION_DESCRIPTION,2"
,Running Shoes,Epic,Add the following trait to your Civ card: +1 Movement for all units.,Power,Gran Colombia,,TRAIT_EJERCITO_PATRIOTA_EXTRA_MOVEMENT,,"LOC_TRAIT_CIVILIZATION_EJERCITO_PATRIOTA_DESCRIPTION,1"
,Enthusiastic,Epic,Add the following trait to your Civ card: Promoting a unit does not end that unit's turn.,Power,Gran Colombia,,TRAIT_PROMOTE_NO_FINISH_MOVES,,"LOC_TRAIT_CIVILIZATION_EJERCITO_PATRIOTA_DESCRIPTION,2"
,Nature Worship,Rare,Add the following trait to your Civ card: Improved resource tiles receive +1 Faith for each copy of the resource the city owns.,Power,Ethiopia,,TRAIT_FAITH_RESOURCES,,"LOC_TRAIT_CIVILIZATION_ETHIOPIA_DESCRIPTION,2"
,Museumism,Rare,Add the following trait to your Civ card: Can purchase Archaeologists and Archaeological Museums with Faith.,Power,Ethiopia,,TRAIT_FAITH_ARCHAEOLOGIST|TRAIT_FAITH_MUSEUM_ARTIFACT,,"LOC_TRAIT_CIVILIZATION_ETHIOPIA_DESCRIPTION,3"
,Horsin' Around,Epic,Add the following trait to your Civ card: Building a light cavalry unit grants a free second copy of that unit.,Power,Scythia,,TRAIT_EXTRALIGHTCAVALRY|TRAIT_EXTRASAKAHORSEARCHER,,"LOC_TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY_DESCRIPTION,0"
,Casus Belli,Uncommon,Add the following trait to your Civ card: You cannot declare Surprise Wars or war on city-states. Surprise Wars cannot be declared on you.,Power,Canada,,TRAIT_NO_SUPRISE_WAR_FOR_CANADA,,"LOC_TRAIT_CIVILIZATION_FACES_OF_PEACE_DESCRIPTION,1,2"
